accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0001700	Streptomyces sp. IMB7-145	niphimycin C	cytotoxic	MF671979.1	0	0
BGC0001701	Blautia obeum	nisin O		KY914474.1	0	0
BGC0001702	Saccharothrix syringae	nocamycin		KY287782.1	0	0
BGC0001703	Nostoc sp. CCAP 1453/38	Nocuolin A	antiproliferative, cytotoxic, antibacterial, antifungal, cytotoxic	KP143720.1	0	0
BGC0001704	Nodularia sp. HBU26	nocuolin A		KY594676.1	0	0
BGC0001705	Nostoc sp. CENA543	nodularin		MF668122.1	0	0
BGC0001706	Hypoxylon pulicicidum	nodulisporic acid F		MG182145.1	42700	71644
BGC0001707	Streptomyces sp.	nosiheptide	antibacterial	KX173290.1	0	0
BGC0001708	Aspergillus novofumigatus IBT 16806	novofumigatonin		MSZS01000014.1	103246	136242
BGC0001709	Streptomyces albulus	nystatin	antifungal	MG742725.1	1	119206
BGC0001710	Pseudomonas fluorescens	obafluorin		KX931446.1	0	0
BGC0001711	Burkholderia pyrrocinia	occidiofungin A		JPWP01000009.1	926	56163
BGC0001712	Aspergillus steynii IBT 23096	ochrindole A	antibacterial, insecticidal	MSFO01000007.1	2783445	2824507
BGC0001713	Ochrobactrum anthropi	ochrobactin	siderophore	JYFX01000060.1	1	11163
BGC0001714	Amycolatopsis azurea DSM 43854	octacosamicin A		NZ_ANMG01000009.1	82437	151608
BGC0001715	Bacillus circulans	octapeptin C4		LN999013.1	0	0
BGC0001716	Xenorhabdus nematophila AN6/1	odilorhabdin NOSO-95A		LN681227.1	2379690	2423130
BGC0001717	Penicillium simplicissimum	okaramine B		LC316945.1	2899	22560
BGC0001718	Aspergillus aculeatus ATCC 16872	okaramine D		NW_017962980.1	582792	598007
BGC0001719	Streptomyces olivaceus	olimycin A		MN901947.1	0	0
BGC0001720	Beauveria bassiana ARSEF 2860	oosporein	cytotoxic, antifungal, antibacterial	JH725181.1	8391	54012
BGC0001721	Burkholderia cepacia	ornibactin	siderophore	KY523076.1	0	0
BGC0001722	Aspergillus nidulans FGSC A4	aspernidine A	cytotoxic	BN001306.1	1341776	1360358
BGC0001723	Streptomyces antibioticus	oviedomycin	cytotoxic	KY129858.1	0	0
BGC0001724	Penicillium oxalicum 114-2	oxaleimide C	cytotoxic	KB644411.1	2193562	2264617
BGC0001725	Bacillus megaterium	oxetanocin A	cytotoxic, antibacterial, antiviral	AB005787.1	0	0
BGC0001726	Streptomyces pactum	pactamide A	cytotoxic	KU569222.1	0	0
BGC0001727	Paenibacillus polymyxa E681	paenilan	antibacterial	CP000154.2	1552554	1565755
BGC0001728	Paenibacillus polymyxa E681	paenilipoheptin		NC_014483.2	2550215	2616852
BGC0001729	Penicillium brasilianum	paraherquonin		LC127182.1	0	0
BGC0001731	Streptomyces paulus	paulomycin	antibacterial	KJ721164.1	0	0
BGC0001732	Streptomyces sp. YN86	paulomycin	antibacterial	KJ721165.1	0	0
BGC0001733	Pleurocapsa sp. PCC 7327	PcpA		NC_019689.1	1517859	1525928
BGC0001734	Aspergillus sp.	penilumamide A		KY781198.1	1	24020
BGC0001735	Streptomyces antibioticus	pentostatine	antiprotozoal, antiviral	KJ856912.1	0	0
BGC0001736	Photorhabdus laumondii subsp. laumondii TTO1	pepteridine A		BX470251.1	3312941	3325828
BGC0001737	Corallococcus coralloides	phenalamide		KY646191.1	0	0
BGC0001738	Pyrenochaetopsis sp.	phomasetin	cytotoxic, antibacterial, antiviral, antifungal, antiprotozoal, inhibitor	LC361337.1	2234	26559
BGC0001739	Streptomyces sp. NRRL F-525	phosphonoacetic Acid	antiviral	NZ_JNXE01000019.1	94228	109122
BGC0001740	Streptomyces avermitilis	phthoxazolin	herbicidal	LC315614.1	0	0
BGC0001741	Phyllosticta cirsii	phyllostictine A	cytotoxic	KY682688.1	0	0
BGC0001742	Candidatus Streptomyces philanthi bv. triangulum	piericidin A1	inhibitor	KX098584.1	0	0
BGC0001743	Lactobacillus plantarum	plantaricyclin	antibacterial	NDXC01000075.1	9158	12204
BGC0001745	Pleurocapsa sp. PCC 7319	PlpA1		NZ_KB235920.1	27903	33295
BGC0001746	Streptomyces pristinaespiralis ATCC 25486	pristinol		NZ_CM000950.1	7136895	7138013
BGC0001747	Tannerella forsythia	pseudaminic acid	antibacterial	JUET01000030.1	26728	37883
BGC0001748	Nostoc sp. CENA543	pseudospumigin A	inhibitor	MF668123.1	0	0
BGC0001749	Pyricularia oryzae 70-15	epipyriculol		CM001233.1	3633847	3688831
BGC0001750	Nannocystis pusilla	pyrronazol B		MF817819.1	0	0
BGC0001751	Pyxidicoccus sp. MCy9557	pyxipyrrolone A		KY765914.1	0	0
BGC0001752	Streptomyces sp. MBT76	qinichelins	siderophore	LNBE01000003.1	1478212	1517303
BGC0001753	Streptomyces globisporus subsp. globisporus	radamycin		NZ_JNZK01000003.1	134923	155574
BGC0001754	Ralstonia solanacearum GMI1000	ralsolamycin		AL646053.1	777576	820777
BGC0001755	Streptomyces sp.	reedsmycin A		MG947597.1	0	0
BGC0001756	Arabidopsis thaliana	retigeranin		CP002686.1	4863613	4887487
BGC0001757	Xenorhabdus nematophila ATCC 19061	rhabduscin		FN667742.1	1086139	1089360
BGC0001758	Paraburkholderia rhizoxinica HKI 454	rhizomide A		NC_014718.1	23940	46916
BGC0001759	Amycolatopsis sp.	rifamorpholine A		MF773686.1	0	0
BGC0001760	Streptomyces rimosus subsp. rimosus ATCC 10970	rimosamide	antibacterial	NZ_ANSJ01000026.1	30040	59133
BGC0001761	Sorangium cellulosum	ripostatin A		KY646190.1	0	0
BGC0001762	Streptomyces sp. KIB-H033	rubrolone A	cell protectant	KX218108.1	0	0
BGC0001763	Streptomyces atratus	rufomycin	antibacterial	LC257593.1	0	0
BGC0001764	Streptomyces sp. SoC090715LN-17	s56-p1		LC177423.1	0	0
BGC0001765	Agrobacterium tumefaciens	salecan		CP014259.1	1227027	1251375
BGC0001766	Streptomyces sp. CNB091	salinamide A	antibacterial	BK009377.1	0	0
BGC0001767	Salinispora pacifica CNY331	salinichelin A		KB897466.1	18300	48531
BGC0001768	[Nectria] haematococca mpVI 77-13-4	sansalvamide		NW_003315863.1	476075	504188
BGC0001769	Streptomyces sp.	saquayamycin A	antibacterial, cytotoxic	KX356541.1	0	0
BGC0001770	Streptomyces sp. SD85	sceliphrolactam		KX230849.1	1	94427
BGC0001771	Streptomyces sclerotialus	scleric acid		NZ_JOBC01000043.1	13255	31732
BGC0001772	Anabaena sp. UHCC 0451	scytophycin		KY767986.1	0	0
BGC0001773	Pseudonocardia sp. HH130630-07	selvamicin		CP013855.1	94748	204191
BGC0001774	Streptomyces fimbriatus	spicamycin	cytotoxic	MF372757.1	1	24025
BGC0001775	Cordana terrestris	sespendole		LC380446.1	0	0
BGC0001776	Penicillium janthinellum	shearinine D	inhibitor	KF280651.1	0	0
BGC0001778	Streptomyces showdoensis	showdomycin	antibacterial, cytotoxic	LAQS01000018.1	12966	29440
BGC0001779	Streptomyces nodosus	siamycin	antiviral	CP009313.1	7655773	7662064
BGC0001780	Herpetosiphon sp. B060	siphonazole		KX765816.1	0	0
BGC0001781	Planomonospora sphaerica	sphaericin		BDCX01000012.1	158350	161251
BGC0001782	Streptomyces sp. SCSIO 03032	spiroindimicin A		KY750719.1	0	0
BGC0001783	Streptomyces flocculus	streptonigrin	antibacterial, cytotoxic	JQ414024.1	0	0
BGC0001784	Streptomyces seoulensis	streptoseomycin	antibacterial	MG891745.1	0	0
BGC0001785	Streptomyces spectabilis	streptovaricin	antibacterial	KY593296.1	0	0
BGC0001786	Novosphingobium subterraneum	subterisin		JRVC01000028.1	16281	27234
BGC0001787	Streptococcus suis	suicin 3908	antibacterial	KU867867.1	0	0
BGC0001788	Streptococcus suis	suicin 65	antibacterial	KU867868.1	0	0
BGC0001789	Streptococcus suis	suicin 90-1330		KU867866.1	0	0
BGC0001790	Pseudomonas acidophila	sulfazecin	antibacterial	KX757706.1	0	0
BGC0001791	Gynuella sunshinyii YC6258	sunshinamide		NZ_CP007142.1	5526779	5556971
BGC0001792	Streptomyces albidoflavus	surugamide A	antifungal	CP004370.1	3888752	3971215
BGC0001793	Chaetothyriaceae sp.	swainsonine	cytotoxic	KY365740.1	0	0
BGC0001794	Alternaria oxytropis	swainsonine		KY365741.1	0	0
BGC0001795	Nostoc sp. UHCC 0450	swinholide A		KY767987.1	0	0
BGC0001796	Brevibacillus laterosporus DSM 25	tauramamide	surfactant	CP017705.1	4751365	4791946
BGC0001797	Streptomyces anulatus	telomestatin	inhibitor	LC318724.1	0	0
BGC0001798	Streptomyces sp.	tetrapetalone A	antibacterial	MG603754.1	1	75307
BGC0001799	Papaver somniferum	thebaine		MH011344.1	78652	1013747
BGC0001800	Candidatus Entotheonella serta	theonellamide		MG844357.1	0	0
BGC0001801	Streptomyces venezuelae ATCC 10712	thiazostatin	antibacterial, antifungal	FR845719.1	555257	584067
BGC0001802	Streptomyces malaysiense	thioholgamide A	cytotoxic	MF593843.1	0	0
BGC0001803	Streptomyces olivoviridis	thioviridamide	cytotoxic	AB819757.1	0	0
BGC0001804	Streptomyces sp. CB03234	tiancimycin	cytotoxic	KT716443.1	0	0
BGC0001805	Klebsiella oxytoca	tilivalline		HG425356.1	0	0
BGC0001806	Pseudomonas tolaasii	tolaasin A		KX432141.1	0	0
BGC0001807	Streptomyces pactum	totopotensamide A		MG012231.1	0	0
BGC0001808	Streptomyces diastatochromogenes	toyocamycin	antifungal, cytotoxic	KY022432.1	0	0
BGC0001809	Bacillus thuringiensis serovar chinensis CT-43	trans-aconitic acid		NC_017203.1	220988	223084
BGC0001810	Polymorphospora rubra	trehangelin		LC144914.1	0	0
BGC0001811	Fusarium asiaticum	trichodiene-11-one		LC222739.1	0	0
BGC0001812	Micromonospora chalcea subsp. izumensis	tylactone		MF033535.1	0	0
BGC0001813	Streptomyces sp. NRRL WC-3703	tyrobetaine		NZ_JOCH01000080.1	1569	29680
BGC0001814	Streptomyces sp. KCB13F003	ulleungmycin	antibacterial	MF541667.1	1	57737
BGC0001815	Streptomyces uncialis	uncialamycin	antibacterial	KT762610.1	0	0
BGC0001816	Shuttle vector AtFAC9J20	valactamide A		KX449366.1	0	0
BGC0001817	Streptomyces sp. WAC2288	vancosamine	antibacterial, antifungal	KJ159186.1	0	0
BGC0001818	Streptomyces sp. SANK 60404	vazabitide A		LC072720.1	0	0
BGC0001819	Streptomyces venezuelae	Venemycin		NZ_CP018074.1	519875	549437
BGC0001820	Gliocladium sp.	verticillin	antibacterial, antitumor	KY359203.1	0	0
BGC0001821	Gliocladium sp.	verticillins		KY359203.1	0	0
BGC0001822	Cystobacter sp.	vioprolide A	cytotoxic	MH108942.1	0	0
BGC0001823	Streptomyces sp. CB02120-2	weishanmycin		MF925482.1	0	0
BGC0001824	Xenorhabdus beddingii	xefoampeptides A-G		MUBK01000010.1	39733	57269
BGC0001825	Xenorhabdus nematophila AN6/1	xenematide		LN681227.1	2673982	2688831
BGC0001826	Xenorhabdus sp. KJ12.1	xeneprotides A-C		NZ_NJCW01000032.1	19426	36800
BGC0001827	Sarocladium sp. 'schorii'	xenovulene A	inhibitor	MG736817.1	0	0
BGC0001828	Streptomyces griseus	griseochelin	antibacterial, antiviral	KT345957.1	0	0
BGC0001830	Salinispora pacifica	rosamicin		KP997155.1	0	0
BGC0001831	Myxococcus xanthus DK 1622	alkylpyrone-407		CP000113.1	8162481	8168774
BGC0001833	Burkholderia gladioli	icosalide A	antibacterial, antifungal, swarming motility, biofilm	MH790860.1	0	0
BGC0001834	Cystobacter sp. SBCb004	argyrin	antibacterial, cytotoxic, immunomodulatory	MK047651.1	0	0
BGC0001835	Gynuella sunshinyii YC6258	gynuellalide		BK010667.1	2779064	2864242
BGC0001836	Gynuella sunshinyii YC6258	tartrolon D	antibacterial	BK010667.1	3696140	3777880
BGC0001837	Leptolyngbya sp. PCC 7375	leptolyngbyalide A		BK010645.1	0	0
BGC0001838	Pseudomonas putida	WLIP	antibacterial, antifungal	JN982333.1	0	0
BGC0001839	Aspergillus sp. Z5	squalestatin S1	antifungal, inhibitor	LDZW01000177.1	32906	54120
BGC0001840	Streptomyces sp. NRRL S-325	detoxin S1		BK010707.1	0	0
BGC0001841	Amycolatopsis jejuensis	detoxin P1		BK010851.1	0	0
BGC0001842	Pseudomonas fluorescens Pf0-1	gacamide A	antibacterial, surfactant	CP000094.2	2495895	2538708
BGC0001843	Paenibacillus sp. M-152	tridecaptin M		CP034141.1	2525121	2583691
BGC0001844	Paraburkholderia rhizoxinica HKI 454	holrhizin A		NC_014718.1	510846	531583
BGC0001845	Streptomyces sp. CBMAI 2042	alpiniamide		RCOL01000001.1	122924	152602
BGC0001846	Streptomyces sp. CBMAI 2042	valinomycin	antibacterial, antifungal, cytotoxic	RCOL01000001.1	7605327	7645900
BGC0001847	Pectobacterium carotovorum	1-carbapen-2-em-3-carboxylic acid		U17224.2	0	0
BGC0001848	Micromonospora sp. B006	diazaquinomycin H	antibacterial	CP030865.1	3038865	3097062
BGC0001849	Streptomyces varsoviensis	thiovarsolin A	cytotoxic	JOBF01000011.1	155004	161953
BGC0001850	Streptomyces sp. F001	diazaquinomycin A	antibacterial, cytotoxic	QZWF01000007.1	257859	281361
BGC0001851	Streptomyces erythrochromogenes	komodoquinone B	cytotoxic	NZ_JNZG01000006.1	186424	230323
BGC0001852	Streptomyces sp. NRRL S-378	komodoquinone B	cytotoxic	NZ_JOBX01000002.1	186402	230564
BGC0001853	Streptomyces argillaceus	Largimycin A1		LR131959.1	1	69807
BGC0001854	Trichoderma harzianum	tricholignan A	iron reducing	JOKZ01000220.1	22313	56389
BGC0001855	Aquimarina sp. Aq349	cuniculene 6A		UYXD01000003.1	0	0
BGC0001856	Streptomyces caniferus	caniferolide A	antifungal, cytotoxic	MK303577.1	0	0
BGC0001857	Aspergillus sp. CLMG-2019a	burnettramic acid A	antibacterial	MK425157.1	1	28117
BGC0001858	Parastagonospora nodorum SN15	alternapyrone B		CH445332.1	703148	723056
BGC0001859	Pseudomonas syringae	fosfomycin	antibacterial	JX102649.1	0	0
BGC0001860	Thermobispora bispora DSM 43833	thiomuracin	antibacterial	CP001874.1	604806	621192
BGC0001861	Bacillus cereus BAG2O-1	bacillicin BAG2O	antibacterial	KB976528.1	0	0
BGC0001862	Aeribacillus pallidus	pallidocin	antibacterial	NZ_LVHY01000134.1	2400	7600
BGC0001863	Bacillus mycoides	bacillicn CER074	antibacterial	NZ_JH791994.1	0	0
BGC0001864	Listeria monocytogenes SLCC2540	listeriocytocin		NC_018586.1	2790122	2798888
BGC0001865	Parastagonospora nodorum SN15	elsinochrome C	cytotoxic	NW_001884561.1	275125	311307
BGC0001866	Byssochlamys spectabilis	viriditoxin	antibacterial, cytotoxic	NW_021167153.1	394575	427864
BGC0001867	Prochlorococcus marinus str. MIT 9313	prochlorosins		BX548175.1	272419	283341
BGC0001868	Xenorhabdus szentirmaii DSM 16338	iodinin	antibacterial, cytotoxic	NIBV01000002.1	193424	204464
BGC0001869	Xenorhabdus szentirmaii DSM 16338	griseoluteic acid	antibacterial	NIBV01000002.1	1256653	1268444
BGC0001870	Xenorhabdus budapestensis	putrebactin		NIBS01000001.1	354427	369084
BGC0001871	Pseudomonas aeruginosa PAO1	L-2-amino-4-methoxy-trans-3-butenoic acid		AE004091.2	2532659	2545669
BGC0001872	Xenorhabdus bovienii SS-2004	fabclavine-polyamine	antibacterial	FN667741.1	2895506	2915996
BGC0001873	Xenorhabdus szentirmaii DSM 16338	pyrrolizixenamide A		NZ_NIBV01000002.1	1647608	1656213
BGC0001874	Aspergillus flavus	α-cyclopiazonic acid		JN712211.1	0	0
BGC0001875	Nocardia arthritidis AUSMDU00012717 Unclassified.	nargenicin A1	anti-Gram-positive	MN095516.1	1	64883
BGC0001876	Thalassospira sp. CNJ-328	thalassospiramide A		KC181864.1	0	0
BGC0001877	Streptomyces sp. ISID311	cyphomycin	anthelmintic, antifungal	VOQD01000001.1	427967	622305
BGC0001878	Streptomyces sp. NRRL B-1347	detoxin N2		BK010852.1	0	0
BGC0001879	Pseudomonas fluorescens	type R and F tailocins	antibacterial	JTGH01000018.1	1425	40752
BGC0001880	Scytonema sp. UIC 10036	scytodecamide		MN265868.1	1339	9601
BGC0001881	Pyricularia grisea	pyrichalasin H	cytotoxic, phytotoxic, signalling	MK801691.1	0	0
BGC0001882	Penicillium rubens Wisconsin 54-1255	chrysoxanthone A		AM920431.1	2571645	2615001
BGC0001883	Symbiodinium sp. clade A Y106	porphyra-334		BGNK01000303.1	173000	194000
BGC0001884	Fischerella sp. PCC 9339	aranazole A		BK010684.1	0	0
BGC0001885	Streptomyces sp. NRRL F-4335	oxazolepoxidomycin A		BK010686.1	0	0
BGC0001886	Claviceps purpurea 20.1	Secalonic acid B		CAGA01000032.1	145282	181985
BGC0001887	Bacillus thuringiensis serovar huazhongensis BGSC 4BD1	huazacin		CM000756.1	6185533	6189849
BGC0001888	Ustilago maydis 521	mannosylerythritol lipid A		CM003146.1	917500	937000
BGC0001889	Thermobifida fusca YX	fusilassin		CP000088.1	1333039	1338128
BGC0001890	Vibrio campbellii ATCC BAA-1116	Amphi-enterobactin 1		CP000789.1	1392460	1420816
BGC0001891	Ruminiclostridium cellulolyticum H10	closthioamide		CP001348.1	3804343	3815207
BGC0001893	Botrytis cinerea B05.10	abscisic acid		CP009812.1	1474615	1499450
BGC0001894	Lactobacillus plantarum	heteropolysaccharide (HePS)		CP021932.1	1050964	1081260
BGC0001895	Streptomyces sp. CB09001	huanglongmycin A	antibacterial, cytotoxic	CP026730.1	2411480	2429829
BGC0001896	Streptomyces luteoverticillatus	carbazomycin B	antibacterial, antifungal	CP034587.1	7184701	7193029
BGC0001897	Burkholderia ambifaria IOP40-10	cepacin A	biofilm	ABLC01000003.1	37421	54095
BGC0001898	Streptomyces platensis	thioplatensimycin		FJ655920.1	0	0
BGC0001899	Leptosphaeria maculans JN3	abscisic acid		FP929136.1	752399	807208
BGC0001900	Burkholderia cenocepacia H111	fragin		HG938371.2	225532	231800
BGC0001901	Trichoderma harzianum	tricholignan A		JOKZ01000220.1	22000	57165
BGC0001902	Myxococcus virescens	bengamide		KP143770.1	0	0
BGC0001903	Streptomyces sp. MA37	neocarazostatin A		KP657980.1	8905	19774
BGC0001904	Micromonospora rosaria	fluostatin L		KT726162.1	3057	37159
BGC0001905	Streptomyces somaliensis	violapyrone B	antiviral	KU534995.1	0	0
BGC0001906	Daldinia eschscholzii IFB-TL01	2-acetyl-1,3,6,8-tetrahydroxynaphthalene		KV884627.1	443950	508400
BGC0001907	Daldinia eschscholzii IFB-TL01	chromane		KV884643.1	341000	385000
BGC0001908	Streptomyces sp. SD85	sceliphrolactam	antifungal	KX230849.1	0	0
BGC0001909	Strobilurus tenacellus	strobilurin A		KY070339.1	0	0
BGC0001910	Streptomyces cyslabdanicus	cyslabdan A		LC064028.1	0	0
BGC0001911	Streptomyces anulatus	raimonol		LC064029.1	0	0
BGC0001912	Streptomyces sp. SANK 60404	(2S,6R)-diamino-(5R,7)-dihydroxy-heptanoic acid		LC072720.1	1	33565
BGC0001913	fungal sp. ATCC 74256	phomoidride		LC086931.1	0	0
BGC0001914	Streptomyces sp. RI18	benzastatin J		LC177364.1	0	0
BGC0001915	Phoma betae	betaestacin I		LC274619.1	0	0
BGC0001916	Streptomyces lavendulae	lavendiol	surfactant	LC330869.1	0	0
BGC0001917	Streptomyces nigrescens	5aTHQ-9i		LC349994.1	0	0
BGC0001918	Streptomyces sp.	JBIR-06		LC375135.1	0	0
BGC0001919	Streptomyces orinoci	neoantimycin	cytotoxic	LC375136.1	0	0
BGC0001920	Streptomyces sp.	siamycin I	antibacterial, antiviral	LC381634.1	10368	22235
BGC0001921	Streptomyces sp.	MS-271	antiviral	LC381634.1	10368	22235
BGC0001922	Streptomyces sp. SoC090715LN-16	isoindolinomycin	antibacterial, cytotoxic	LC386909.1	0	0
BGC0001923	Acremonium egyptiacum	ascochlorin	cytotoxic, inhibitor	LC406756.1	0	0
BGC0001924	Acremonium egyptiacum	ascofuranone	cytotoxic, inhibitor	LC406757.1	0	0
BGC0001925	Streptomyces sp.	altemicidin	cytotoxic	LC420052.1	0	0
BGC0001926	Talaromyces verruculosus	chrodrimanin B		LC422696.1	2244	30249
BGC0001927	Streptomyces sp.	A-94964	antibacterial, inhibitor, antibacterial	LC431526.1	0	0
BGC0001928	Streptomyces sp. MA37	(2R,3S,4S)-5-fluoro-2,3,4-trihydroxypentanoic acid		LN612605.1	0	0
BGC0001929	Streptococcus ferus	WGK		LS483343.1	539080	543757
BGC0001930	Aeribacillus pallidus	pallidocin		NZ_LVHY01000134.1	2400	7600
BGC0001931	unidentified unclassified sequences.	carrimycin	cytotoxic	LY609824.1	0	0
BGC0001932	Kitasatospora mediocidica	mediomiycin A		MF139773.1	6894	168396
BGC0001933	Sphaerospermopsis sp. LEGE 00249	sphaerocyclamide		MF140698.1	0	0
BGC0001935	Streptomyces cyaneofuscatus	3,7-dihydroxytropolone	cytotoxic	MF955860.1	0	0
BGC0001936	Hypoxylon pulicicidum	nodulisporic acid F		MG182145.1	41000	72000
BGC0001937	Streptomyces tubercidicus	tubercidin	antiprotozoal, cytotoxic	MG706975.1	4367	12776
BGC0001938	Candidatus Entotheonella serta	4-hydroxy-6-pentadecyl-2H-pyran-2-one		MG844359.1	90048	91866
BGC0001939	Streptomyces seoulensis	streptoseomycin	antibacterial	MG891745.1	2281	84150
BGC0001940	Pyxidicoccus fallax	pyxidicycline A		MH048639.1	1739	21113
BGC0001941	Myxococcus fulvus	Fulvuthiacene A		MH069655.1	0	0
BGC0001942	Streptomyces rimosus subsp. paromomycinus	malonomycin		MH104947.1	0	0
BGC0001943	Cystobacter sp.	vioprolides A		MH108942.1	185	44502
BGC0001944	Streptosporangium sp.	funisamine		MH128143.1	0	0
BGC0001945	Myxococcus sp.	chloromyxamide		MH168382.1	0	0
BGC0001946	Burkholderia gladioli	lagriamide	surfactant	MH171092.1	0	0
BGC0001947	Acinetobacter baumannii	K53 capsular polysaccharide		MH190222.1	0	0
BGC0001948	Streptomyces sp.	naseseazine C		MH201515.1	0	0
BGC0001950	Cylindrospermum moravicum CCALA 993	puwainaphycin F	surfactant	MH325197.1	0	0
BGC0001951	Cylindrospermum alatosporum CCALA 994	puwainaphycin F	surfactant	MH325198.1	0	0
BGC0001952	Anabaena minutissima UTEX B 1613	minutissamide A		MH325199.1	0	0
BGC0001953	Anabaena sp. UHCC-0399	puwainaphycin F	surfactant	MH325200.1	0	0
BGC0001954	Talaromyces wortmannii	wortmanamide A		MH399766.1	0	0
BGC0001955	Amycolatopsis keratiniphila NRRL B24117	keratinimicin A		MH428036.1	1	71301
BGC0001956	Streptomyces miharaensis	miharamycin A		MH534948.1	0	0
BGC0001957	Streptomyces novoguineensis	amipurimycin	antifungal	MH534949.1	0	0
BGC0001958	Streptomyces novoguineensis	amipurimycin	antifungal	MH534949.1	0	0
BGC0001959	Streptomyces hiroshimensis	taylorflavin A	antibacterial	MH743142.1	0	0
BGC0001960	Streptomyces hiroshimensis	hiroshidine		MH743143.1	0	0
BGC0001961	Streptomyces sp.	ashimides		MH752201.1	0	0
BGC0001962	Cyanobium sp. LEGE 06113	hierridin B		MH824152.1	0	0
BGC0001963	Catenulispora sp.	catenulisporolide A	antimalarial	MH844630.1	0	0
BGC0001964	Cystobacterineae bacterium	alkylpyrone-407		MH908886.1	0	0
BGC0001965	Streptomyces albus subsp. chlorinus	nybomycin	antibacterial, antiviral	MH924838.1	0	0
BGC0001966	Phoma sp.	BII-rafflesfungin		MK043052.1	0	0
BGC0001967	Streptomyces hawaiiensis	acyldepsipeptide 1	antibacterial, antifungal, cytotoxic	MK047367.1	0	0
BGC0001968	uncultured bacterium	cadaside A		MK060022.1	11462	81357
BGC0001969	Talaromyces wortmannii	asperterpenoid A		MK140602.1	0	0
BGC0001970	Okeania hirsuta	malyngamide C acetate		MK142792.1	283	68730
BGC0001971	Okeania hirsuta	malyngamide I		MK142793.1	283	62128
BGC0001972	Streptomyces hiroshimensis	toxoflavin	anthelmintic, antibacterial, antifungal	MK256951.1	0	0
BGC0001973	Streptomyces hiroshimensis	fervenulin	anthelmintic, antibacterial, antifungal	MK256951.1	0	0
BGC0001974	Digenea simplex	kainic acid	neurotoxic	MK312630.1	0	0
BGC0001975	Streptomyces atratus	atratumycin	antibacterial	MK370905.1	1	69292
BGC0001976	Phoma sp.	eupenifeldin		MK400120.1	0	0
BGC0001977	Phoma sp.	eupenifeldin		MK400120.1	0	0
BGC0001978	Aspergillus sp. CLMG-2019a	burnettramic acid		MK425157.1	0	0
BGC0001979	Streptomyces vinaceusdrappus	LL-D49194α1 (LLD)	antitumor (duplicate of anticancer), anti-Gram-positive	MK501817.1	0	0
BGC0001980	Pseudomonas sp.	lokisin		MK534107.1	0	0
BGC0001982	Pyricularia grisea	pyrichalasin H		MK801691.1	0	0
BGC0001983	Kitasatospora aureofaciens	triacsin C		MK932017.1	0	0
BGC0001984	Streptomyces sp.	sarpeptin A		MN068049.1	0	0
BGC0001985	Streptomyces candidus	Pyrazofurin		MN305320.1	67514	90882
BGC0001986	Streptomyces chrestomyceticus	purincyclamide		MN190176.1	0	0
BGC0001987	Pseudomonas koreensis	koreenceine A		MPLD01000001.1	701809	716497
BGC0001988	Aspergillus novofumigatus IBT 16806	neosartorin		MSZS01000005.1	106880	139050
BGC0001989	Kluyveromyces lactis	pulcherrimin		NC_006039.1	1709494	1717470
BGC0001991	Methylorubrum extorquens AM1	toblerol A		NC_012811.1	7676	32884
BGC0001992	Erwinia amylovora CFBP1430	thioguanine		NC_013971.1	1133807	1138555
BGC0001993	Paenibacillus polymyxa E681	paenilipoheptin		NC_014483.2	2569478	2611964
BGC0001994	Streptomyces cattleya NRRL 8057 = DSM 46488	β-ethynylserine	antibacterial	NC_016113.1	1125448	1132417
BGC0001995	Aspergillus oryzae RIB40	heptelidic acid		NC_036441.1	1039554	1067040
BGC0001996	Aspergillus oryzae RIB40	oryzine A		NC_036442.1	2952940	3000000
BGC0001997	Nicotiana tabacum	capsidiol		NCAA01001461.1	469296	543944
BGC0001998	Aspergillus nidulans FGSC A4	aspernidgulene A1		NT_107014.1	1175678	1189809
BGC0001999	Paraburkholderia graminis C4D1M	gramibactin	siderophore	NZ_ABLD01000016.1	101206	144574
BGC0002000	Streptomyces aurantiacus JA 4570	setomimycin	antibacterial, cytotoxic	NZ_AOPZ01000074.1	2057	14558
BGC0002001	Azotobacter chroococcum NCIMB 8003	crochelin A		NZ_CP010415.1	4311524	4361698
BGC0002002	Serratia fonticola	1,6-phenazinedimethanol		NZ_CP011254.1	780776	795170
BGC0002003	[Polyangium] brachysporum	glidopeptin A		NZ_CP011371.1	3068194	3115010
BGC0002004	Methylosinus trichosporium OB3b	methanobactin	antibacterial	NZ_CP023737.1	1498747	1508549
BGC0002005	Xanthomonas oryzae pv. oryzae	RaxX		NZ_CP031462.1	1285024	1291221
BGC0002006	Streptomyces albus	albusnodin		NZ_CP033071.1	2833928	2837273
BGC0002007	Amycolatopsis tolypomycina	atolypene A	cytotoxic	NZ_FNSO01000004.1	5921897	5943258
BGC0002008	Xenorhabdus doucetiae	aryl polyenes		NZ_FO704550.1	3655966	3671216
BGC0002009	Amycolatopsis vancoresmycina	kanglemycin A	antibacterial	NZ_JNYY01000005.1	420871	518113
BGC0002010	Streptomyces sp. CNB091	streptophenazine B	antibacterial	NZ_KB899004.1	101033	137766
BGC0002011	Amycolatopsis alba DSM 44262	ansacarbamitocin A		NZ_KB913032.1	8464165	8572952
BGC0002012	Streptomyces afghaniensis 772	julichrome Q3-3	antibacterial	NZ_KE354310.1	8349	34051
